CustomerID,Recency,Frequency,Monetary,R_Score,F_Score,M_Score,RF_Score,Segment
12346.0,56,10,230.55,2,4,1,24,Loyal Customers
12358.0,140,1,1429.83,1,1,4,11,Lost Customers
12359.0,35,4,1522.23,3,4,4,34,Loyal Customers
12360.0,34,2,158.0,3,3,1,33,Loyal Customers
12361.0,90,1,109.19999999999999,1,1,1,11,Lost Customers
12362.0,147,1,130.0,1,1,1,11,Lost Customers
12366.0,42,1,500.24,2,1,3,21,Potential Loyalists
12368.0,36,1,917.6999999999999,3,1,3,31,Potential Loyalists
12369.0,50,1,348.32,2,1,2,21,Potential Loyalists
12370.0,33,3,774.62,3,3,3,33,Loyal Customers
12371.0,53,2,607.6800000000001,2,3,3,23,Loyal Customers
12373.0,33,2,763.0500000000001,3,3,3,33,Loyal Customers
12380.0,55,3,3217.3,2,3,4,23,Loyal Customers
12389.0,64,1,164.85,2,1,1,21,Potential Loyalists
12391.0,6,4,1902.19,4,4,4,44,Champions
12395.0,11,1,1125.44,4,1,4,41,New Customers
12396.0,83,1,931.43,1,1,3,11,Lost Customers
12399.0,53,1,205.98,2,1,1,21,Potential Loyalists
12402.0,9,2,505.35,4,3,3,43,Loyal Customers
12404.0,90,1,63.24,1,1,1,11,Lost Customers
12406.0,4,2,1629.2,4,3,4,43,Loyal Customers
12416.0,65,1,202.56,2,1,1,21,Potential Loyalists
12417.0,26,5,1465.95,3,4,4,34,Loyal Customers
12418.0,38,1,343.94,3,1,2,31,Potential Loyalists
12422.0,19,3,1133.45,3,3,4,33,Loyal Customers
12426.0,71,1,762.48,2,1,3,21,Potential Loyalists
12431.0,54,3,1514.8600000000001,2,3,4,23,Loyal Customers
12435.0,45,2,1736.88,2,3,4,23,Loyal Customers
12437.0,11,8,4261.22,4,4,4,44,Champions
12439.0,91,2,1158.18,1,3,4,13,Loyal Customers
12440.0,126,1,568.51,1,1,3,11,Lost Customers
12443.0,140,1,485.31,1,1,3,11,Lost Customers
12455.0,35,2,2414.34,3,3,4,33,Loyal Customers
12459.0,13,1,454.36,4,1,2,41,New Customers
12466.0,90,1,56.73,1,1,1,11,Lost Customers
12468.0,18,2,2329.54,4,3,4,43,Loyal Customers
12470.0,98,1,211.95,1,1,1,11,Lost Customers
12471.0,1,22,8268.35,4,4,4,44,Champions
12472.0,1,7,4302.29,4,4,4,44,Champions
12474.0,2,3,1088.3899999999999,4,3,4,43,Loyal Customers
12477.0,31,1,2021.23,3,1,4,31,Potential Loyalists
12481.0,15,2,3275.6,4,3,4,43,Loyal Customers
12482.0,6,19,20134.64,4,4,4,44,Champions
12483.0,3,5,1146.9,4,4,4,44,Champions
12484.0,58,3,706.8,2,3,3,23,Loyal Customers
12487.0,139,1,285.29999999999995,1,1,2,11,Lost Customers
12490.0,49,6,2112.0099999999998,2,4,4,24,Loyal Customers
12495.0,49,1,357.4,2,1,2,21,Potential Loyalists
12496.0,28,2,54.09,3,3,1,33,Loyal Customers
12497.0,53,1,1211.76,2,1,4,21,Potential Loyalists
12500.0,16,6,1327.04,4,4,4,44,Champions
12504.0,5,1,134.4,4,1,1,41,New Customers
12510.0,32,6,3414.23,3,4,4,34,Loyal Customers
12514.0,50,1,580.08,2,1,3,21,Potential Loyalists
12516.0,7,1,689.46,4,1,3,41,New Customers
12523.0,46,4,866.84,2,4,3,24,Loyal Customers
12524.0,34,3,2282.58,3,3,4,33,Loyal Customers
12525.0,55,1,566.4300000000001,2,1,3,21,Potential Loyalists
12530.0,6,2,657.54,4,3,3,43,Loyal Customers
12531.0,94,1,1807.98,1,1,4,11,Lost Customers
12533.0,36,2,1367.89,3,3,4,33,Loyal Customers
12539.0,125,2,5149.06,1,3,4,13,Loyal Customers
12540.0,12,7,2876.2400000000002,4,4,4,44,Champions
12542.0,48,1,364.79,2,1,2,21,Potential Loyalists
12549.0,90,4,1159.3700000000001,1,4,4,14,Loyal Customers
12555.0,90,1,129.23,1,1,1,11,Lost Customers
12557.0,131,1,1952.64,1,1,4,11,Lost Customers
12567.0,75,1,522.28,2,1,3,21,Potential Loyalists
12568.0,53,1,70.0,2,1,1,21,Potential Loyalists
12570.0,90,1,77.52,1,1,1,11,Lost Customers
12577.0,144,1,210.55,1,1,1,11,Lost Customers
12583.0,26,3,2123.49,3,3,4,33,Loyal Customers
12586.0,132,1,422.35,1,1,2,11,Lost Customers
